"Species","SLA_cm2/g","LDMC_mg/g","Chlorophyll_FCI","LeafTough_N/mm","LeafThick_mm","SSD_g/cm3","PithProp_%","XylProp_%","BarkProp_%","VesselDens_n/mm2","VesselDiam_microm","StomDens_n/mm2","StomLength_microm","Hpot95_m","DS_anemo-0_zoo-1","SeedMass_g","Kpot_kg/m/s/Mpa"
"Abarema langsdorffii",13.038,459.379,NA,NA,0.12,0.513,32.16,50.41,17.43,31.27,25.17,171.99,10.02,17.1,1,0.04951667,0.031
"Aegiphila integrifolia",16.959,259.468,51.34,0.22,0.191,0.283,45.27,44.71,10.02,33.32,26.73,423.59,12.29,14.25,1,0.0263,0.042
"Alchornea glandulosa",17.703,432.029,44.89,0.3,0.129,0.359,34.77,60.28,4.96,19.26,32.73,268.7,11.96,25.65,1,0.01809231,0.054
"Alchornea sidifolia",10.374,442.173,49.13,0.38,0.154,0.325,44.22,48.46,7.32,20.52,27.21,NA,NA,20.9,1,0.01448235,0.028
"Alchornea triplinervia",17.27,423.13,50.26,0.27,0.198,0.348,38.18,54.45,7.38,30.19,30.12,137.56,15.6,27.59,1,0.02288846,0.061
"Allophylus edulis",12.93,423.206,48.41,0.21,0.14,0.739,24.85,61.9,13.25,93.34,16.75,395.25,9.12,19,1,0.046145,0.018
"Allophylus petiolulatus",16.003,347.61,59.24,0.24,0.142,0.443,45.1,44.79,10.11,60.82,16.07,223.92,9.93,12.35,1,0.08361739,0.01
"Alsophila setosa",12.776,354.328,NA,0.03,0.075,0.181,72.79,10.34,16.87,147.98,25.49,106.32,17.22,29.45,0,1.3e-07,0.153
"Amaioua guianensis",13.259,380.037,55.42,0.27,0.151,0.514,36.08,57.49,6.43,66.23,17.9,111.37,16.65,16.15,1,0.01253846,0.017
"Andira fraxinifolia",15.161,403.773,47.35,0.26,0.149,0.442,39.87,38.76,21.37,148.87,21.04,519.61,8.12,20.9,1,2.0303,0.071
"Aniba firmula",14.997,403.494,61.32,0.28,0.172,0.496,27.5,59.34,13.16,66.25,18.03,338.91,10.21,20.9,1,0.6912,0.017
"Annona emarginata",16.414,383.845,56.37,0.24,0.146,0.357,26.04,59.61,14.35,80.55,19.63,286.03,14.81,18.05,1,0.17169459,0.029
"Annona neosericea",17.759,340.921,58.55,0.26,0.153,0.275,15.06,70.63,14.31,52.93,26.19,NA,NA,30.88,1,0.03312639,0.061
"Aparisthmium cordatum",19.952,551.947,57.21,0.28,0.114,0.391,55.81,38.58,5.61,68.44,21.61,272.69,14.69,19.95,1,0.0301,0.036
"Aspidosperma australe",18.678,285.48,67.99,0.24,0.15,0.636,23.95,57.74,18.32,210.05,13.2,NA,NA,32.02,0,0.14080769,0.016
"Aspidosperma parvifolium",19.238,296.354,NA,0.22,0.152,0.69,14.5,67.41,18.09,200.04,13.1,NA,NA,29.45,0,0.2,0.014
"Aspidosperma tomentosum",17.01,317.377,51.03,0.13,0.146,0.548,26.8,58.37,14.83,184.52,13.02,45.71,12.14,21.85,0,0.22568,0.013
"Bathysa australis",23.654,204.494,46.44,0.2,0.163,0.211,57.83,29.68,12.49,166.3,18.27,230.38,20.62,26.6,0,3.15e-06,0.045
"Byrsonima ligustrifolia",12.741,396.083,56.82,0.37,0.25,0.465,19.52,68.63,11.85,76.96,17.53,108.87,25.85,22.8,1,0.14892,0.018
"Cabralea canjerana",13.261,351.4,71.6,0.35,0.18,0.311,44.96,40.5,14.54,104.35,21.45,152.29,14.78,31.23,1,0.24641538,0.054
"Calyptranthes tricona",12.665,456.897,NA,0.41,0.142,0.766,8.2,78.77,13.03,50.15,17.31,271.62,7.11,15.11,1,0.08623333,0.011
